total_stops,bus_stops,tram_stops,total_routes,unique_routes,population,area_km2,district,stops_per_km2,routes_per_km2,stops_per_10k,avg_walking_dist_m,pct_within_400m,norm_stops_per_km2,norm_routes_per_km2,norm_stops_per_10k,norm_walk_inv,accessibility_score,rank
462,462,0,2547,462,307120,6.99,Yau Tsim Mong,66.09442060085837,364.3776824034335,15.04297994269341,262.3,74.4,0.9999999999847049,0.9999999999972242,0.9562204496985205,0.9930592632139986,0.9876669650621475,1
539,539,0,3355,539,668606,11.27,Kwun Tong,47.82608695652174,297.6929902395741,8.061548954092544,190.8,88.5,0.7205849006864942,0.8148957542114454,0.4048833803283198,0.9999999999999029,0.7211202538408701,2
260,260,0,854,260,166695,9.83,Wan Chai,26.44964394710071,86.87690742624619,15.59734845076337,574.5,43.5,0.39363110936620144,0.22970969812551328,0.9999999999210281,0.9627529971362458,0.6180673567487449,3
360,360,0,1648,360,405869,9.35,Sham Shui Po,38.50267379679145,176.2566844919786,8.86985702283249,275.7,77.9,0.5779828186059595,0.4778112591494388,0.46871702739795584,0.9917584817744024,0.608378613573517,4
368,368,0,1833,368,410618,10.02,Kowloon City,36.72654690618763,182.93413173652695,8.962101028206265,267.5,75.8,0.5508168667919505,0.49634660505670125,0.4760017144016354,0.9925544823568418,0.6068430363735378,5
275,275,0,1283,275,420183,9.3,Wong Tai Sin,29.569892473118276,137.9569892473118,6.544767398966641,403.7,66.2,0.44135547047685886,0.3714984612337061,0.28510021569583754,0.9793331068290073,0.492422931741245,6
236,236,0,824,236,243266,12.44,Central and Western,18.971061093247588,66.2379421221865,9.701314610344232,671.4,34.1,0.2792458013571662,0.17241978671647,0.5343788366105413,0.9533466000096147,0.45114271624082564,7
432,432,0,2257,432,495798,23.34,Kwai Tsing,18.508997429305914,96.70094258783205,8.71322595089129,1145.2,28.3,0.27217851393752884,0.25697938416814997,0.4563475695722788,0.9073532980633006,0.44145595222902595,8
395,395,0,1584,394,303637,61.71,Tsuen Wan,6.400907470426187,25.668449197860962,13.008954771651677,1193.6,21.3,0.0869846575060273,0.059806454540983385,0.7955895591750127,0.9026549531620731,0.42047539131322187,9
699,699,0,3157,699,692806,68.71,Sha Tin,10.173191675156456,45.946732644447685,10.089404537489571,771.3,36.6,0.14468193773785298,0.11609518050506586,0.5650270466170241,0.943648983157701,0.4024149347334186,10
344,344,0,783,344,529603,18.56,Eastern,18.53448275862069,42.1875,6.495431483582985,650.7,40.9,0.27256831335546006,0.10566025307563562,0.2812040633100682,0.9553560161140652,0.369557776325877,11
367,367,0,1472,367,304500,136.61,North,2.6864797599004464,10.775199472952199,12.052545155993432,2894.4,15.1,0.030172295318065777,0.018465576024900517,0.7200600473205708,0.7375527835751359,0.34119365114681477,12
410,410,0,1823,410,303926,136.15,Tai Po,3.011384502387073,13.389643775247889,13.490125885906439,5564.5,9.7,0.035141730004983926,0.025722784913804267,0.8335885700414053,0.4783575207493589,0.32104186189016937,13
602,602,0,2123,602,668080,138.46,Yuen Long,4.3478260869565215,15.332948143868265,9.010896898575021,1507.4,20.7,0.05558267253038472,0.03111703474556153,0.4798552183910618,0.872193369897503,0.3188565390227719,14
439,439,0,1936,439,495560,82.89,Tuen Mun,5.296175654481844,23.35625527807938,8.858664944709016,2132.7,10.3,0.07008772776631482,0.053388236240148344,0.46783316740380376,0.8114934718244127,0.313630363605765,15
79,79,0,205,79,269200,38.85,Southern,2.0334620334620332,5.276705276705276,2.934621099554235,3603.0,8.0,0.020184355726605204,0.0032027834989514334,0.0,0.6687666844633626,0.14060933948539195,16
125,125,0,722,125,186200,175.12,Islands,0.713796253997259,4.122887163088168,6.713211600429646,7284.4,1.8,0.0,0.0,0.29840257914233614,0.31140125224478843,0.13688089523454172,17
314,314,0,1307,314,489037,129.65,Sai Kung,2.4219051291939837,10.08098727342846,6.420782067614517,10492.3,4.2,0.026125612782598097,0.016538572668682413,0.27530885496417856,0.0,0.08079954074299467,18
