total_stops,kmb_stops,citybus_stops,nlb_stops,total_routes,unique_routes,operator_diversity,population,area_km2,district,stops_per_km2,routes_per_km2,stops_per_10k,avg_walking_dist_m,pct_within_400m,ramp_coverage_pct,terrain_ruggedness,micro_grid_cells,remote_cells_pct,distance_mode,remote_policy,norm_stops_per_km2,norm_routes_per_km2,norm_stops_per_10k,norm_walk_inv,norm_operator_div,norm_ramp_cov,norm_terrain_inv,accessibility_score,rank,cluster_label,cluster_id
623,462,157,4,4187,623,3,307120,6.99,Yau Tsim Mong,89.12732474964234,598.9985693848355,20.285230528783536,325.9,68.2,15.0,3.37,990,0.1,road_network,exclude_remote,0.9999999999884736,0.999999999998284,0.60266254082807,0.9800485590615644,0.999999999,0.9999999999285716,0.9999999999575372,0.928462343641784,1,High Accessibility,0
555,368,186,1,2892,555,3,410618,10.02,Kowloon City,55.38922155688623,288.622754491018,13.5162121485176,324.8,71.0,9.1,6.08,1264,0.08,road_network,exclude_remote,0.6111218631881903,0.4674127461867353,0.2435747644834463,0.981209754036756,0.999999999,0.578571428530102,0.8849256899836551,0.6522388402020515,2,High Accessibility,0
510,360,148,2,2670,510,3,405869,9.35,Sham Shui Po,54.54545454545455,285.5614973262032,12.565630782346028,421.5,67.8,9.6,11.79,892,5.41,road_network,exclude_remote,0.6013962855104995,0.4621598029212383,0.193147637559354,0.8791301593994731,0.999999999,0.6142857142418368,0.642462844983335,0.606244408081088,3,High Accessibility,0
742,539,203,0,5090,742,2,668606,11.27,Kwun Tong,65.83850931677019,451.64152617568766,11.09771674199753,307.0,73.1,12.1,14.93,1220,0.25,road_network,exclude_remote,0.7315643057208265,0.7471436909479198,0.115276673262595,0.9999999999989444,0.0,0.7928571428005102,0.5091295116556633,0.5994633972091582,4,High Accessibility,0
463,260,203,0,2836,463,2,166695,9.83,Wan Chai,47.10071210579858,288.5045778229908,27.77527820270554,613.8,56.7,9.7,26.92,1077,0.0,road_network,exclude_remote,0.5155853686266774,0.4672099617426229,0.9999999999469512,0.6761321651000991,0.0,0.6214285713841836,0.0,0.5421555855607438,5,Medium Accessibility,1
468,236,232,0,3215,468,2,243266,12.44,Central and Western,37.62057877813505,258.4405144694534,19.238200159496188,667.2,41.8,8.3,21.72,1643,4.7,road_network,exclude_remote,0.4063137666039645,0.4156217381390709,0.5471189175209172,0.6197614272135334,0.0,0.5214285713913266,0.2208067940458257,0.4302079289016022,6,Medium Accessibility,1
375,275,100,0,1940,375,2,420183,9.3,Wong Tai Sin,40.32258064516129,208.6021505376344,8.924682816772691,561.0,65.5,10.9,22.84,681,16.03,road_network,exclude_remote,0.4374580619923803,0.3301019388918624,0.0,0.7318695239092876,0.0,0.7071428570923469,0.1732484076359555,0.3619826832827735,7,Medium Accessibility,1
568,344,224,0,3980,568,2,529603,18.56,Eastern,30.60344827586207,214.4396551724138,10.725014775218416,770.2,39.4,5.1,22.12,1995,12.69,road_network,exclude_remote,0.3254316666288168,0.340118764989002,0.0955053101237167,0.5110313522637907,0.0,0.2928571428362244,0.2038216560423006,0.2824459715474327,8,Medium Accessibility,1
415,125,67,223,2948,415,3,186200,175.12,Islands,2.3698035632709,16.834170854271356,22.287862513426425,1254.3,17.6,1.0,17.6,12005,79.4,road_network,exclude_remote,0.0,0.0010389875678621,0.7088996088641865,0.0,0.999999999,0.0,0.3957537154821336,0.2484027112528762,9,Low Accessibility,2
725,602,81,42,2903,725,3,668080,138.46,Yuen Long,5.236169290769897,20.966344070489672,10.851993773200814,953.9,31.2,2.9,11.15,8097,50.72,road_network,exclude_remote,0.0330388154049314,0.0081295618970902,0.1022413837264857,0.3171117914068224,0.999999999,0.1357142857045918,0.669639065788975,0.2466063550989252,10,Low Accessibility,2
