total_stops,kmb_stops,citybus_stops,nlb_stops,total_routes,unique_routes,operator_diversity,population,area_km2,district
468,236,232,0,3215,468,2,243266,12.44,Central and Western
568,344,224,0,3980,568,2,529603,18.56,Eastern
415,125,67,223,2948,415,3,186200,175.12,Islands
555,368,186,1,2892,555,3,410618,10.02,Kowloon City
499,432,67,0,2792,499,2,495798,23.34,Kwai Tsing
742,539,203,0,5090,742,2,668606,11.27,Kwun Tong
429,367,62,0,2217,429,2,304500,136.61,North
455,314,141,0,2217,455,2,489037,129.65,Sai Kung
878,699,179,0,4664,878,2,692806,68.71,Sha Tin
510,360,148,2,2670,510,3,405869,9.35,Sham Shui Po
353,79,274,0,2573,353,2,269200,38.85,Southern
470,410,60,0,2409,470,2,303926,136.15,Tai Po
450,395,50,5,2054,449,3,303637,61.71,Tsuen Wan
595,439,145,11,2983,595,3,495560,82.89,Tuen Mun
463,260,203,0,2836,463,2,166695,9.83,Wan Chai
375,275,100,0,1940,375,2,420183,9.3,Wong Tai Sin
623,462,157,4,4187,623,3,307120,6.99,Yau Tsim Mong
725,602,81,42,2903,725,3,668080,138.46,Yuen Long
