rank,district,cluster_label,accessibility_score,total_stops,kmb_stops,citybus_stops,nlb_stops,population,area_km2,stops_per_km2,routes_per_km2,stops_per_10k,avg_walking_dist_m,pct_within_400m,ramp_coverage_pct,terrain_ruggedness,operator_diversity
1,Yau Tsim Mong,High Accessibility,0.928462343641784,623,462,157,4,307120,6.99,89.12732474964234,598.9985693848355,20.285230528783536,325.9,68.2,15.0,3.37,3
2,Kowloon City,High Accessibility,0.6522388402020515,555,368,186,1,410618,10.02,55.38922155688623,288.622754491018,13.5162121485176,324.8,71.0,9.1,6.08,3
3,Sham Shui Po,High Accessibility,0.606244408081088,510,360,148,2,405869,9.35,54.54545454545455,285.5614973262032,12.565630782346028,421.5,67.8,9.6,11.79,3
4,Kwun Tong,High Accessibility,0.5994633972091582,742,539,203,0,668606,11.27,65.83850931677019,451.64152617568766,11.09771674199753,307.0,73.1,12.1,14.93,2
5,Wan Chai,Medium Accessibility,0.5421555855607438,463,260,203,0,166695,9.83,47.10071210579858,288.5045778229908,27.77527820270554,613.8,56.7,9.7,26.92,2
6,Central and Western,Medium Accessibility,0.4302079289016022,468,236,232,0,243266,12.44,37.62057877813505,258.4405144694534,19.238200159496188,667.2,41.8,8.3,21.72,2
7,Wong Tai Sin,Medium Accessibility,0.3619826832827735,375,275,100,0,420183,9.3,40.32258064516129,208.6021505376344,8.924682816772691,561.0,65.5,10.9,22.84,2
8,Eastern,Medium Accessibility,0.2824459715474327,568,344,224,0,529603,18.56,30.60344827586207,214.4396551724138,10.725014775218416,770.2,39.4,5.1,22.12,2
9,Islands,Low Accessibility,0.2484027112528762,415,125,67,223,186200,175.12,2.3698035632709,16.834170854271356,22.287862513426425,1254.3,17.6,1.0,17.6,3
10,Yuen Long,Low Accessibility,0.2466063550989252,725,602,81,42,668080,138.46,5.236169290769897,20.966344070489672,10.851993773200814,953.9,31.2,2.9,11.15,3
11,Tsuen Wan,Low Accessibility,0.2391485485229527,450,395,50,5,303637,61.71,7.292173067574137,33.28471884621617,14.820328220868998,1094.6,25.0,3.8,20.31,3
12,Kwai Tsing,Low Accessibility,0.2207893116740946,499,432,67,0,495798,23.34,21.3796058269066,119.6229648671808,10.06458275346008,902.6,35.5,5.6,15.41,2
13,Tuen Mun,Low Accessibility,0.2196611642019497,595,439,145,11,495560,82.89,7.178187959946918,35.9874532512969,12.00661877471951,1164.8,28.2,4.0,13.92,3
14,Sha Tin,Low Accessibility,0.2021817938420073,878,699,179,0,692806,68.71,12.778343763644305,67.87949352350459,12.67310040617431,853.5,39.5,6.3,22.37,2
15,Southern,Low Accessibility,0.1573482656983384,353,79,274,0,269200,38.85,9.086229086229086,66.22908622908622,13.112927191679049,914.0,24.2,1.6,22.42,2
16,North,Low Accessibility,0.133391373416737,429,367,62,0,304500,136.61,3.1403264768318566,16.22868018446673,14.088669950738916,1058.9,31.1,2.0,14.11,2
17,Tai Po,Low Accessibility,0.1088354165632319,470,410,60,0,303926,136.15,3.452074917370547,17.693720161586484,15.464290649697624,1184.0,23.9,2.3,18.63,2
18,Sai Kung,Low Accessibility,0.0596387528833036,455,314,141,0,489037,129.65,3.5094485152333204,17.099884303895102,9.303999492880909,1106.1,24.2,2.0,21.43,2
